employee_id,name,email,designation,age,length_of_service,is_promoted,no_of_trainings,avg_training_score
65438,Liam Kelly,liam@gmail.com,Sales & Marketing,35,8,0,10,49.0
65141,Uma Taylor,uma@gmail.com,Operations,30,4,0,10,60.0
7513,Quincy Davis,quincy@gmail.com,Sales & Marketing,34,7,0,10,50.0
2542,Rachel Smith,rachel@gmail.com,Sales & Marketing,39,10,0,10,50.0
48945,Sam Smith,sam@gmail.com,Technology,45,2,0,10,73.0
58896,Eva Taylor,eva@gmail.com,Analytics,31,7,0,10,85.0
20379,Frank Edwards,frank@gmail.com,Operations,31,5,0,10,59.0
16290,Isabella Perez,isabella@gmail.com,Operations,33,6,0,10,63.0
73202,Grace Brooks,grace@gmail.com,Analytics,28,5,0,10,83.0
28911,David Edwards,david@gmail.com,Sales & Marketing,32,5,0,10,54.0
29934,Olivia Hill,olivia@gmail.com,Technology,30,1,0,10,77.0
49017,Xander Harris,xander@gmail.com,Sales & Marketing,35,3,1,10,50.0
60051,Catherine Green,catherine@gmail.com,Sales & Marketing,49,5,0,10,49.0
38401,Olivia Phillips,olivia_phillips581@gmail.com,Technology,39,16,0,10,80.0
77040,Olivia Wilson,olivia_wilson941@gmail.com,R&D,37,7,0,10,84.0
43931,Isabella Hill,isabella_hill133@gmail.com,Operations,37,10,0,10,60.0
7152,Rachel Lee,rachel_lee10@gmail.com,Technology,38,5,0,10,77.0
9403,Zach Wilson,zach@gmail.com,Sales & Marketing,34,4,0,10,51.0
17436,Catherine Perez,catherine_perez150@gmail.com,Sales & Marketing,34,8,0,10,46.0
54461,Grace Baker,grace_baker806@gmail.com,Operations,37,9,0,10,59.0
12067,Olivia Thompson,olivia_thompson800@gmail.com,Procurement,35,7,0,10,75.0
33332,David Baker,david_baker367@gmail.com,Operations,41,11,0,10,57.0
58789,Wendy Davis,wendy@gmail.com,Finance,28,4,0,10,63.0
71177,Eva Carter,eva_carter147@gmail.com,Procurement,27,1,0,10,70.0
52057,David Kelly,david_kelly567@gmail.com,Finance,39,7,0,10,59.0
26585,Karen Thompson,karen@gmail.com,Technology,27,3,0,10,83.0
37749,Jack Carter,jack@gmail.com,Procurement,31,4,0,10,68.0
2370,David Baker,david_baker85@gmail.com,Technology,33,4,0,10,79.0
8219,Harry Smith,harry@gmail.com,Analytics,29,3,0,10,80.0
74759,Victor Phillips,victor@gmail.com,Sales & Marketing,26,1,0,10,44.0
27395,Jack Morgan,jack_morgan919@gmail.com,Procurement,37,10,0,10,72.0
58536,Tina Brooks,tina@gmail.com,Finance,26,2,0,10,
35465,Zach Kelly,zach_kelly544@gmail.com,Sales & Marketing,24,2,0,10,48.0
51756,Liam Baker,liam_baker206@gmail.com,Operations,57,6,0,10,58.0
57011,Xander Baker,xander_baker728@gmail.com,Analytics,27,3,0,10,87.0
77064,Xander Kelly,xander_kelly479@gmail.com,Sales & Marketing,40,4,0,10,47.0
64062,Yvonne Johnson,yvonne@gmail.com,Technology,33,4,0,10,75.0
47123,Tina Wilson,tina_wilson110@gmail.com,Sales & Marketing,40,3,0,10,47.0
56275,Jack Wood,jack_wood606@gmail.com,Sales & Marketing,42,5,0,10,51.0
58304,Rachel Davis,rachel_davis850@gmail.com,Sales & Marketing,33,6,1,10,51.0
25014,Jack Martinez,jack_martinez23@gmail.com,Technology,34,10,0,10,80.0
40097,Olivia White,olivia_white822@gmail.com,Operations,23,2,0,10,57.0
23560,Jack Hill,jack_hill104@gmail.com,HR,59,26,0,10,52.0
17423,Eva Hill,eva_hill669@gmail.com,Sales & Marketing,24,2,0,10,48.0
